Adresse_civique,Arrondissement,Identifiant Standard Montréal-Divulgation-ID bâtiment,Annee_consommation,Superficie,Emissions_GES (tCO₂e),Annee_construction,Electricite (GJ),Gaz_naturel,Mazout ,Eau_refroidie (GJ),Vapeur 
7800 Boul. Métropolitain E,Anjou,650100015,2023,"5600,01","0,35",2013,"2044,5",,,,
8000 Rue Normanville,Villeray - Saint-Michel - Parc-Extension,650100774,2023,"3415,00","74,44",1958,"1207,7","1460,4",,,
8100 Boul. Saint-Michel,Villeray - Saint-Michel - Parc-Extension,650100775,2023,"2818,00","69,10",1968,"679,3","1357,2",,,
8105 Rue Hochelaga,Mercier - Hochelaga-Maisonneuve,650100619,2023,"4970,00","0,40",1987,"2350,9",,,,
8200 Av. Chénier,Anjou,650100016,2023,"3885,00","137,21",1967,"4419,4","2684,7",,,
820 Rue Saint-Germain,Saint-Léonard,650100077,2023,"3591,00","99,05",1961,"1869,3","1942,4",,,
8400 boul. Lacordaire,Saint-Léonard,650100049,2023,"16554,02","590,82",1972,"17139,5","11566,1",,,
855 Boul. Crémazie E,Ahuntsic - Cartierville,650100660,2023,"8452,01","189,69",1991,"9427,2","3700,4",,,
8650 Av. Querbes,Villeray - Saint-Michel - Parc-Extension,650100777,2023,"3772,00","184,76",1979,"2640,8",3626,,,
8681 Boul. Champlain,LaSalle,650100196,2023,"5016,00","263,94",1961,"7456,9","5167,6",,,
8750 Av. Chaumont,Anjou,650100017,2023,"5531,01","215,84",1975,"4131,9","4232,5",,,
8780 Av. Dubuisson,Mercier - Hochelaga-Maisonneuve,650100620,2023,"3557,00","196,23",1971,3474,"3848,9",,,
8850 Av. Dubuisson,Mercier - Hochelaga-Maisonneuve,650100621,2023,"4398,00","215,03",2013,"2800,7",4221,,,
8931 Av. Papineau,Villeray - Saint-Michel - Parc-Extension,650100766,2023,"7999,01","67,92",2009,"2220,1","1328,8",,,
9001 Boul. Perras,RDP - PAT,650100864,2023,"2286,00","55,85",1995,1186,"1094,7",,,
9175 Boul. Perras,RDP - PAT,650100865,2023,"3922,00","176,50",1965,"5204,4","3454,9",,,
944 Rue Saint-Paul O,Sud-Ouest,650100516,2023,"2742,00","70,52",1966,"1947,3","1380,9",,,
999 Rue Louvain E,Ahuntsic - Cartierville,650100662,2023,"12776,01","169,14",1966,"2344,4","3319,7",,,
