buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,location_fingerprint
849,COMPLEXE SPORTIF SAINT-LAURENT,"2385 Boulevard  Thimens (SLR) , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Piscine intérieure,SAINT-LAURENT,2017.0,31394.57,9733.9,31148.9,,,,,0.5,0.5,B:SAINT-LAURENT|S:BOULEVARD  THIMENS (
850,"BIBLIO, CENTRE D'EXPO, RÉSERVE MUSÉALE","2727 Boulevard  Thimens (SLR) , Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Bibliothèque,SAINT-LAURENT,2013.0,6592.06,3237.35,6193.3,2.0,1.0,1.0,,0.5,0.5,B:SAINT-LAURENT|S:BOULEVARD  THIMENS (
851,MAISON ROBERT-BÉLANGER,"3902 Chemin du Bois-Franc (SLR) , Montréal",PROPRIÉTAIRE,Bâtiment vacant,Loisir communautaire,Centre communautaire et loisir,SAINT-LAURENT,1803.0,366.14,195.0,267.7,2.0,1.0,,,0.5,0.5,B:SAINT-LAURENT|S:CHEMIN DU BOIS-FRANC
854,CHALET PRINCIPAL PARC THOMAS-CHAPAIS,"8919 Rue  De Grosbois , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Chalet,MERCIER/HOCHELAGA/ MAISONNEUVE,2008.0,56.54,56.54,44.56,1.0,,,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  DE GROSBOIS
857,CHALET SATELLITE PARC THOMAS-CHAPAIS,"5800 Boulevard  Pierre-Bernard , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,MERCIER/HOCHELAGA/ MAISONNEUVE,2009.0,26.73,26.73,18.97,1.0,,,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:BOULEVARD  PIERRE-BE
860,REMISE - SUPER JARDIN,"545 Avenue  Sainte-Croix (SLR) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Abri fermé,SAINT-LAURENT,,20.0,20.0,20.0,1.0,,,,0.5,0.5,B:SAINT-LAURENT|S:AVENUE  SAINTE-CROIX
862,STATION DE POMPAGE WELLINGTON (VIADUC),"1690 Rue  Wellington , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),SUD-OUEST,1963.0,32.13,32.13,32.13,1.0,0.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  WELLINGTON
863,"KIOSQUE PERC.TENNIS, PARC BEAUBIEN","6534 Avenue  9e , Montréal",PROPRIÉTAIRE,Bâtiment,Commercial,Kiosque,ROSEMONT / PETITE-PATRIE,1984.0,8.0,,8.0,1.0,,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE
864,COMPLEXE SOPHIE-BARAT,"10851 Avenue  Saint-Charles , Montréal",COPROPRIÉTAIRE,Bâtiment,Sportif,Piscine intérieure,AHUNTSIC / CARTIERVILLE,1986.0,5869.46,3793.23,5621.3,2.0,1.0,1.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:AVENUE  SAINT-CHARLE
867,CENTRE COMMUNAUTAIRE VILLERAY,"660 Rue  Villeray , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,VILLERAY/ST-MICHEL/PARC-EXTENS,1931.0,1154.84,284.93,988.2,3.0,1.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:RUE  VILLERAY
868,CENTRE COMMUNAUTAIRE ROUSSIN,"12125 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,R-D-P / P-A-T,1914.0,14178.23,3693.67,12974.37,5.0,1.0,1.0,,0.5,0.5,B:R-D-P / P-A-T|S:RUE  NOTRE-DAME E
869,CENTRE MONSEIGNEUR-PIGEON,"5550 Rue  Angers , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,SUD-OUEST,1959.0,2766.13,1047.62,2516.93,3.0,1.0,1.0,,0.5,0.5,B:SUD-OUEST|S:RUE  ANGERS
873,ABRI OUVERT DU SQUARE GAUGIN,"2370 Rue de l' Acajou (SLR) , Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri ouvert,SAINT-LAURENT,,25.0,25.0,25.0,,,,,0.5,0.5,B:SAINT-LAURENT|S:RUE DE L' ACAJOU (SL
874,SOUS-STATION ÉLECTRIQUE ATWATER,"3161 Rue  Joseph , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Sous-station électrique,SUD-OUEST,,508.47,0.0,465.44,1.0,1.0,,,0.5,0.5,B:SUD-OUEST|S:RUE  JOSEPH
875,BÂTIMENT UV / HYPOCHLORITE,"3161 Rue  Joseph , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de chloration,SUD-OUEST,2011.0,5496.01,1183.09,4521.5,2.0,2.0,,,0.5,0.5,B:SUD-OUEST|S:RUE  JOSEPH
876,SALLE MÉCANIQUE PARTERRE (PV CLARK STM),"1500 Rue  Clark , Montréal",PROPRIÉTAIRE,Installation externe,Industriel,Sous-station électrique,VILLE-MARIE,2010.0,28.52,28.52,28.52,0.0,1.0,,,0.5,0.5,B:VILLE-MARIE|S:RUE  CLARK
877,COMPLEXE D'INGÉNIERIE D'USINES,"999 Rue  Dupuis , Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,SUD-OUEST,2010.0,803.29,803.29,784.4,1.0,,,,0.5,0.5,B:SUD-OUEST|S:RUE  DUPUIS
878,ANCIEN RESTAURANT MON-NAN,"1092 Rue  Clark , Montréal",PROPRIÉTAIRE,Bâtiment excéd.,Commercial,Restaurant,VILLE-MARIE,1910.0,1284.28,1.0,1284.28,4.0,,,,0.5,0.5,B:VILLE-MARIE|S:RUE  CLARK
879,BÂTIMENT PRINCIPAL COUR VILLE-MARIE,"1455 Rue  Bercy , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Garage TP/Parcs/Imm./Ent.méc.,VILLE-MARIE,1960.0,9813.07,3785.17,9495.13,1.0,0.0,,,0.5,0.5,B:VILLE-MARIE|S:RUE  BERCY
884,MAISON  ANTOINE-BEAUDRY,"14678 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Centre culturel,R-D-P / P-A-T,1731.0,454.93,157.01,290.11,2.0,1.0,0.0,,0.5,0.5,B:R-D-P / P-A-T|S:RUE  NOTRE-DAME E
885,EX-CASERNE NO 14,"11575 Avenue  26e , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,R-D-P / P-A-T,1989.0,185.8,185.8,173.7,1.0,0.0,0.0,,0.5,0.5,B:R-D-P / P-A-T
886,DÉPOT # 08,"3655 Boulevard  Saint-Jean-Baptiste , Montréal",PROPRIÉTAIRE,Bâtiment excéd.,Protection et sécurité,Entrepôt chauffé,R-D-P / P-A-T,1989.0,185.8,185.8,173.71,1.0,0.0,0.0,,0.5,0.5,B:R-D-P / P-A-T|S:BOULEVARD  SAINT-JEA
887,BALANCE  DU CESM,"2235 Rue  Michel-Jurdant , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Balance,VILLERAY/ST-MICHEL/PARC-EXTENS,1989.0,85.02,85.02,74.83,1.0,0.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:RUE  MICHEL-JURDANT
889,CENTRE AQUATIQUE RIVIÈRE-DES-PRAIRIES,"12515 Boulevard  Rodolphe-Forget , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Piscine intérieure,R-D-P / P-A-T,1990.0,4781.3,2806.41,3940.99,2.0,1.0,0.0,,0.5,0.5,B:R-D-P / P-A-T|S:BOULEVARD  RODOLPHE-
890,CARREFOUR JEUNESSE DU CCSE MAISONNEUVE,"4240 Rue  Ontario E, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,MERCIER/HOCHELAGA/ MAISONNEUVE,1910.0,1180.12,337.97,1018.3,3.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE  ONTARIO E
891,PAVILLON LA FONTAINE,"1301 Rue  Sherbrooke E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,PLATEAU MONT-ROYAL,1952.0,18317.5,6093.5,13504.14,3.0,1.0,2.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:RUE  SHERBROOKE E
976,CENTRE DU PLATEAU,"2275 Boulevard  Saint-Joseph E, Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Espace sports/loisirs,PLATEAU MONT-ROYAL,1962.0,6970.0,1970.3,6418.23,2.0,2.0,1.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL|S:BOULEVARD  SAINT-JOS
977,CHALET DU PARC DES HIRONDELLES,"10100 Avenue  Larose , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Chalet,AHUNTSIC / CARTIERVILLE,1988.0,432.5,145.25,336.61,1.0,1.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE|S:AVENUE  LAROSE
