buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,priority_score,priority_level,score_age_risk,score_size_impact,score_energy_risk,score_climate_risk,score_social_vulnerability,score_floor_count_norm,score_has_basement,estimated_ges_reduction,building_age,age_category
4415,CENTRE COMMUNAUTAIRE GERRY-ROBERTSON,"9665 Boulevard  Gouin O, Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,PIERREFONDS/ROXBORO,2008.0,1230.49,1230.49,1186.3,1.0,,,,0.5,0.5,45.79497129074812,Medium,0.3,0.5150718149353378,0.47876795373383446,0.5,0.4,0.1,0,4.418393845424594,16.0,< 20 ans
4420,ABRI OUVERT (BOCCE) DU PARC OUELLETTE,"Rue  Robert (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri ouvert,LASALLE,2000.0,495.0,495.0,495.0,,,,,0.5,0.5,40.52187339864136,Medium,0.3,0.4492469460816996,0.3497489820272332,0.5,0.6,0.1,0,1.298443095776103,24.0,20-40 ans
4424,ENTREPÔT MUNICIPAL GRENACHE,"8296 Rue  Grenache (ANJ) , Montréal",LOCATAIRE,Bâtiment,Industriel,Entrepôt chauffé,ANJOU,,725.13,0.0,725.13,1.0,,,,0.5,0.5,47.82002872771173,Medium,0.7,0.5,0.45,0.5,0.5,0.1,0,0.0,,
4426,JEU D'EAU DU PARC ÉTIENNE-DESMARTEAU,"Avenue  20e , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,ROSEMONT / PETITE-PATRIE,2006.0,144.21,144.21,144.21,,,,,0.5,0.5,28.709880325228085,Low,0.3,0.3603327542370743,0.32011091807902475,0.5,0.5,0.1,0,0.34622396622132123,18.0,< 20 ans
4427,JEU D'EAU DU PARC SAINT-BENOIT,"Rue  Meilleur , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,AHUNTSIC / CARTIERVILLE,,97.45,1.0,97.45,0.0,0.0,0.0,,0.5,0.5,21.739995896041165,Low,0.7,0.050171665943996864,0.3375429164859992,0.5,0.5,0.0,0,0.005907001038504986,,
4428,PATAUGEOIRE DU PARC GABRIEL-LALEMANT,"Rue  Sauvé E, Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Pataugeoire,AHUNTSIC / CARTIERVILLE,2008.0,154.19,0.0,154.19,,,,,0.5,0.5,38.15707108469542,Low,0.3,0.5,0.3666666666666667,0.5,0.5,0.1,0,0.0,16.0,< 20 ans
4429,JEU D'EAU DU PARC BOIVIN,"9050 Rue de Matane (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,LASALLE,2003.0,226.21,226.12,226.21,,,,,0.5,0.5,36.69762250309287,Low,0.3,0.3927092299196335,0.3309030766398778,0.5,0.6,0.1,0,0.5611785276735688,21.0,20-40 ans
4430,JEU D'EAU DU PARC J.-D.-DUCHARME,"Rue  Daoust (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,LASALLE,2009.0,134.99,134.99,134.99,,,,,0.5,0.5,34.18647935843154,Low,0.3,0.355584495629725,0.31852816520990834,0.5,0.6,0.1,0,0.3224858776626415,15.0,< 20 ans
4431,EX PATAU. JEU D'EAU DU PARC JEANNOTTE,"Rue  Laplante (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,LASALLE,1960.0,170.05,170.05,170.05,,,,,0.5,0.5,54.63541187860403,Medium,0.8,0.3721871797535135,0.49072905991783783,0.5,0.6,0.1,0,1.6689695327805665,64.0,60-100 ans
4432,JEU D'EAU DU PARC J.O.R.-LEDUC,"Rue  Paquette (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,LASALLE,2000.0,114.39,114.39,114.39,,,,,0.5,0.5,33.38224491713511,Low,0.3,0.34369469555863047,0.3145648985195435,0.5,0.6,0.1,0,0.2698730905623793,24.0,20-40 ans
4433,EX PATAU. JEU D'EAU DU PARC OUELLETTE,"Rue  Serre (LSL) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,LASALLE,2008.0,139.24,139.24,139.24,,,,,0.5,0.5,34.33714822853061,Low,0.3,0.3578119838476231,0.31927066128254106,0.5,0.6,0.1,0,0.33341435157735766,16.0,< 20 ans
4434,JEU D'EAU DU PARC MORGAN,"Rue  Sainte-Catherine E, Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,MERCIER/HOCHELAGA/ MAISONNEUVE,2005.0,71.55,0.0,71.55,,,,,0.5,0.5,38.15707108469542,Low,0.3,0.5,0.3666666666666667,0.5,0.5,0.1,0,0.0,19.0,< 20 ans
